"Category","Total Sales ($)","Avg Price ($)","Product Count"
"Car&Motorbike|CarAccessories|I...","$2339.00","$2339.00","1"
"Computers&Accessories|Accessor...","$185200.62","$486.09","381"
"Computers&Accessories|Componen...","$8822.00","$1764.40","5"
"Computers&Accessories|External...","$38725.00","$2151.39","18"
"Computers&Accessories|Laptops|...","$37247.00","$37247.00","1"
"Computers&Accessories|Monitors","$16398.00","$8199.00","2"
"Computers&Accessories|Networki...","$37688.00","$1108.47","34"
"Computers&Accessories|Printers...","$30641.00","$2785.55","11"
"Computers&Accessories|Tablets","$26999.00","$26999.00","1"
"Electronics|Accessories|Memory...","$11366.00","$811.86","14"
"Electronics|Cameras&Photograph...","$20352.00","$1272.00","16"
"Electronics|GeneralPurposeBatt...","$5377.00","$384.07","14"
"Electronics|Headphones,Earbuds...","$62576.00","$948.12","66"
"Electronics|HomeAudio|Accessor...","$558.00","$279.00","2"
"Electronics|HomeAudio|MediaStr...","$4699.00","$4699.00","1"
"Electronics|HomeAudio|Speakers...","$19487.00","$1499.00","13"
"Electronics|HomeTheater,TV&Vid...","$1685954.00","$10407.12","162"
"Electronics|Mobiles&Accessorie...","$1148582.00","$7134.05","161"
"Electronics|PowerAccessories|S...","$1289.00","$1289.00","1"
"Electronics|WearableTechnology...","$177817.00","$2339.70","76"
"Health&PersonalCare|HomeMedica...","$899.00","$899.00","1"
"Home&Kitchen|CraftMaterials|Dr...","$189.00","$94.50","2"
"Home&Kitchen|CraftMaterials|Pa...","$931.00","$232.75","4"
"Home&Kitchen|CraftMaterials|Sc...","$130.00","$130.00","1"
