"Home&Kitchen|Heating,Cooling&A...","$373789.61","$3222.32","116"
"Home&Kitchen|HomeStorage&Organ...","$5728.06","$358.00","16"
"Home&Kitchen|Kitchen&Dining|Ki...","$199.00","$199.00","1"
"Home&Kitchen|Kitchen&HomeAppli...","$663149.14","$2153.08","308"
"HomeImprovement|Electrical|Ada...","$425.00","$425.00","1"
"HomeImprovement|Electrical|Cor...","$249.00","$249.00","1"
"MusicalInstruments|Microphones...","$1276.00","$638.00","2"
"OfficeProducts|OfficeElectroni...","$2792.00","$698.00","4"
"OfficeProducts|OfficePaperProd...","$6557.00","$242.85","27"
"Toys&Games|Arts&Crafts|Drawing...","$150.00","$150.00","1"
